,PearsonR,PValue,Sample
0,0.13693022199188937,1.0934996488614707e-121,K562.stranded.ENCFF040DXX.ENCFF777EAJ
0,0.1298963173039123,1.3340684455145877e-109,K562.stranded.ENCFF097ASF.ENCFF528VFJ
0,0.14923972397490984,1.9823390456919734e-144,K562.stranded.ENCFF336COA.ENCFF829PNJ
0,0.1514443850347822,1.0210172224438426e-148,K562.stranded.ENCFF006DQI.ENCFF964BAP
