Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum
51.07226,45.85330000000001,49.62014,25.289640000000006,0.0,0.0,0.0,0.0,3.94755,13.35851,14.02672,4.2337
200.3623,701.0962699999998,796.0301600000004,176.93143999999987,59630.71000000001,7121.004649999997,9075.850210000011,55789.017,6897.8166,9160.569099999997,7968.620190000001,15352.624499999996
48.4945,350.68145999999996,393.5414899999999,52.79083,107760.45399999997,36193.45518999999,33254.61223,85265.12100000001,59154.038,5435.4485,4963.577949999999,208253.11099999998
26.626400000000004,79.38094999999998,12.6798,27.64088000000001,4813.619000000001,27.82965,35.03120999999997,3949.5906,3532.814999999999,4948.8175999999985,4261.6680000000015,6396.921
334.81930000000006,1944.7318000000005,1461.8046399999998,408.86516000000006,82021.42459999998,17810.559740000015,15102.525789999998,68971.36510000004,50417.471999999994,72101.09869999999,63495.47700000001,125664.364
19.670600000000007,3.0096999999999996,1.5015199999999997,14.018040000000001,2051.66,42.6524,20.76062000000001,2471.9860000000003,8468.6,8884.35,7707.86,19525.13
0.0,18.086070000000003,6.440580000000002,0.8177199999999999,4.9576,108.08689999999994,137.11439999999996,23.732999999999997,4.668270000000001,0.7559499999999999,7.5462,6.05444
42.1385,165.77497000000005,190.15756000000002,32.68922,10.133450000000002,25.562799999999996,16.45955,28.84718,67.44711000000001,58.97909,52.94535,65.49822
73.97199999999998,177.01929999999993,216.28845999999993,60.678290000000004,0.00885,4.7828,9.65981,1.40003,26.964990000000007,30.274460000000015,16.969809999999995,16.901279999999996
0.0,0.0,0.0,0.0,32.22093999999999,36.19056,15.216499999999996,37.38764000000001,55.32566,41.115,44.99009999999998,53.60818000000001
0.0,0.0,0.0,0.0,43.16480000000002,30.325300000000006,24.969580000000004,15.220450000000007,0.0,0.0,9.450349999999997,0.0
0.0,0.6201,13.859100000000003,0.0,0.0,21.112799999999993,38.534959999999984,1.8729200000000004,1.8497600000000005,0.0,2.6191500000000003,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.903600000000004,0.0,0.0,0.0,7.798399999999998,0.0,0.0,0.0,0.0,0.0
71.71779999999997,973.9273,968.0271999999995,306.2555999999999,0.0,0.0,2.1603000000000003,0.0,106.55549999999998,21.595429999999993,35.542399999999994,40.98304
0.0,2.04989,0.0,0.0,0.0,415.24420000000003,432.7683399999999,4.9939800000000005,1.1192800000000003,0.0,0.0,0.0
0.0,2.173,0.7953,0.0,0.0,0.9328,6.980940000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,33.62958,42.09790000000001,0.0,0.0,0.0,0.0,0.0,1.178,0.0,0.0,0.0
0.0,4.28,17.708380000000002,2.22392,29.76834,13128.495999999997,12476.699999999997,328.12335,5205.2396,2966.1692400000006,2697.2245000000003,4247.334
0.0,0.0,0.0,0.0,1.5226199999999999,67.18239000000003,151.35479999999998,9.797960000000002,0.0,0.0,0.0,0.0
0.0,5.3508000000000004,6.660710000000003,0.0,0.0,62.440599999999975,63.16642000000002,4.50666,14.382169999999999,17.09127,5.072850000000001,6.97854
0.0,118.46289999999999,82.04929999999997,0.1304,0.0,0.6572,0.7181,0.27269,1.5381599999999997,1.2986600000000001,0.5872999999999999,0.40181999999999995
0.0,11.772799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9307,49.549199999999985,58.55019999999999,9.0018,0.0,0.0,0.0,0.0,0.22382000000000002,0.0,0.8303,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05729,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,145.7276,151.80664000000002,1.0512699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,101.97330000000001,76.22437000000001,6.6751000000000005,0.0,4.279950000000001,3.7991000000000006,0.0,0.0,0.0,0.0,1.32858
11.802,421.63050000000015,315.55015999999966,17.584289999999996,0.0,0.0,0.0,0.0,0.30628000000000005,15.1073,8.444199999999999,2.0931
0.0,8.6985,1.1150399999999998,0.0,1.7001200000000003,930.83,759.41666,0.8146199999999998,0.0,0.0,0.0,0.0
0.0,31.621460000000003,16.696570000000005,0.0,0.0,0.0,0.0,0.0,0.00295,0.0,0.0,0.0
6.4269,873.4104000000001,710.3654000000004,24.5934,0.0,6.044800000000003,0.0,0.0,0.0,0.00411,1.0232999999999999,0.0
0.0,229.07800000000003,216.84686999999994,10.77752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.757910000000001,8.687399999999998,0.0,0.0,712.0744000000001,732.5760999999999,5.913270000000001,2.4865200000000005,0.0,4.380989999999999,1.2702000000000002
24.19921,337.32829999999996,285.1161199999998,135.08406000000008,0.0,2.3038,0.0,0.0,10.003099999999998,2.01395,6.708349999999997,4.94576
0.0,0.0,0.0,0.0,4.4389,286.95566999999994,284.7505699999999,35.657030000000006,0.0,0.80413,0.0,0.0
0.0,0.0,0.0,0.0,27.24103999999999,66.27820000000001,100.13502999999999,11.294319999999999,0.0,0.0,0.0,0.0
