Sum,Sum,Sum,Sum
53.44706000000001,140.83330000000004,82.14854000000001,93.05157999999999
69828.07934,11218.918010000003,81786.64238000005,21974.92555000001
51894.86115,27920.583540000014,64891.83576,24226.68119999999
2581.08889,46.63611000000001,4511.90132,99.22358999999999
67873.45562000001,10863.731280000004,89354.90606000004,22770.44161000001
1520.2954200000004,26.337710000000005,2585.3175099999994,47.643750000000004
51.44807,120.20371999999995,22.180100000000003,85.81319
426.0291799999999,580.4195499999998,193.36517000000003,419.98839999999996
390.51754999999986,681.42177,161.78953,495.3762000000001
117.28837999999992,64.74931,104.12450000000001,79.05012
13.06335,30.435369999999995,10.97142000000001,44.988
7.597709999999997,39.81822,8.09528,32.80929999999999
0.0,5.42862,0.0,0.0
2.2024299999999997,2.2394,0.0,0.0
0.0,0.0,0.0,0.0
0.0,6.7045,0.0,3.2942
1961.9329999999998,2318.56268,1216.4116400000003,2515.1438
76.45212,1022.1592999999999,19.316540000000003,712.3712000000002
9.327200000000001,41.84239000000002,2.64111,5.91
0.0,0.0,0.0,0.0
74.56259,1807.8049999999998,17.843890000000005,1347.2135000000003
325.44645,1247.1962999999996,53.58940000000001,1241.1430000000005
130.74849,414.9687299999998,59.02570000000001,353.42490000000026
26.22671000000001,69.95446999999996,17.14986,32.455099999999995
0.47351,82.46520000000001,0.36060000000000003,18.754699999999996
0.0,0.0,0.0,0.0
16.2811,60.35841000000001,11.127229999999999,52.675799999999995
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
4.40457,0.0,0.0,0.0
0.0,2.4190300000000002,0.0,0.0
384.27828999999997,400.0338999999999,28.46409999999999,529.2741800000002
12.036410000000002,907.2280000000001,1.56708,847.0027
0.0,28.802630000000004,1.5675599999999998,3.4425999999999997
144.00631,1191.530600000001,78.79688999999996,1019.7628000000001
34.18017999999999,228.88700000000003,11.3437,231.2578000000001
176.51571,1795.7583099999997,21.9527,1768.57039
396.9960599999998,541.5477900000002,286.1379,313.8853000000002
60.069720000000004,306.92254999999983,40.49074000000001,121.79410000000001
37.05334000000001,62.91461999999997,20.496060000000003,44.05767999999995
11.012099999999998,47.15859999999999,0.0,25.27809999999998
284.64820999999995,720.7776499999998,79.95961999999999,800.7459999999998
33.123239999999996,162.66964000000004,23.0477,70.2891
1958.1146399999998,10492.46454,508.44798000000003,9773.652300000002
452.58732999999995,2403.6461400000003,180.01414,2737.3114000000014
633.44014,794.82746,347.4724099999999,1106.6817000000005
3715.048099999999,6939.703599999996,1733.7794,6971.671600000001
0.0,0.0,0.0,0.0
0.0,0.2902,1.5355199999999998,0.0
5.318289999999998,30.049899999999983,3.66782,27.04059000000001
0.0,0.0,0.0,0.17099999999999999
89.16162999999999,1240.9200100000005,24.988820000000004,1437.6319000000003
218.71201,1434.5724799999991,47.97513,1358.4925999999987
824.6055999999999,1286.3622800000005,515.6051800000002,1815.7450000000003
875.5749899999998,2109.2345199999995,525.2136800000002,2793.6676900000007
17.86232,83.16565999999999,1.0657999999999999,196.9116
6.078599999999998,236.76893999999996,0.0,199.00858999999988
95.26522000000003,388.94019999999995,59.9597,302.0945
25.523199999999996,352.79356000000007,16.31188,232.26029999999997
18.597779999999997,124.8032,14.059100000000008,95.39588999999998
1.102,0.46560999999999997,0.0,0.0
68.43414000000003,190.3941399999999,40.030959999999986,178.40079999999992
16.20479,161.24547999999993,6.988409999999999,132.83284999999992
90.91074999999998,223.57182,118.02605999999992,167.94109999999992
31.815570000000005,554.7128,16.872550000000007,499.4331800000002
114.36831,353.5130500000001,117.47869999999999,451.64189000000005
114.3708,422.9476199999999,117.0642,576.1027799999998
2.2024299999999997,0.0,0.0,6.905990000000001
233.49078,497.82730000000004,92.94125000000001,593.2969999999999
0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.582799999999999
0.0,0.0,0.0,0.0
0.00551,11.1969,0.16468,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.9379,0.29503999999999997,2.3823600000000003,0.0
436.75174999999996,3174.2394000000004,112.99598,3276.0805000000005
40.42510000000001,219.78387999999998,4.451479999999999,344.73939999999993
372.68221000000005,557.8609799999999,103.90527999999998,562.8790999999999
36.98701,134.28968000000006,21.78265,164.81949999999995
23.55385,126.61059000000003,12.73855,157.81219999999996
506.2672600000001,2055.665,429.39292,1519.2596
30.242100000000008,259.797,13.565600000000002,176.13519999999997
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
191.5449000000001,234.85229999999999,174.77712000000008,152.9311
0.0,0.0,0.0,0.0
8.91955,28.92482,12.413900000000002,31.5555
9.162040000000001,27.043419999999983,9.57722,40.85449999999997
5.67108,20.15106999999998,5.7683,28.608299999999993
9.26095,30.78645999999999,12.413580000000003,38.30638
69.59559000000002,317.2540199999999,15.037340000000002,345.11730000000006
66.66521999999998,224.19735000000009,15.226340000000004,260.49009999999976
0.0,0.0,1.5675599999999998,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0517
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,6.9817,2.61724,11.4432
151.06892999999997,110.34727000000001,125.36085999999996,143.64525999999992
142.548,231.57800000000012,126.23745999999996,355.4569000000001
0.51378,5.7552,0.0,1.7892000000000001
2.19138,0.0,0.0,0.0
402.80834,1438.0997999999995,168.97438,1478.3529999999998
0.0,0.0,0.0,0.0
166.81515000000007,424.4590399999998,26.655539999999984,602.1907699999996
157.0403800000002,1119.7742799999999,59.29890000000002,1047.9043999999997
