PearsonR,PValue,Sample
0.17574390383006427,8.355400532182032e-113,GM12878.stranded.ENCFF985TNZ.ENCFF892WMR
0.15351860845233872,3.2194012994198444e-86,GM12878.stranded.ENCFF037DUE.ENCFF078ATR
0.19472194363148018,1.5926636011326692e-138,GM12878.stranded.ENCFF164VLA.ENCFF074SXQ
0.19337095342287186,1.3376072015460915e-136,GM12878.stranded.ENCFF182LTN.ENCFF546NVF
