0,1,2,3,4,K562_CAGE_128*3_sum
ENSG00000310526,51894.86115,27920.583540000014,64891.83576,24226.68119999999,0.0
ENSG00000225630,2581.08889,46.63611000000001,4511.90132,99.22358999999999,2620.8
ENSG00000237973,67873.45562000001,10863.731280000004,89354.90606000004,22770.44161000001,426.44
ENSG00000229344,1520.2954200000004,26.337710000000005,2585.3175099999994,47.643750000000004,5335.4
ENSG00000240409,51.44807,120.20371999999995,22.180100000000003,85.81319,13234.0
ENSG00000198744,426.0291799999999,580.4195499999998,193.36517000000003,419.98839999999996,2481.2
ENSG00000237491,390.51754999999986,681.42177,161.78953,495.3762000000001,0.0
ENSG00000228794,117.28837999999992,64.74931,104.12450000000001,79.05012,0.0
ENSG00000225880,13.06335,30.435369999999995,10.97142000000001,44.988,143.315
ENSG00000228794_1,7.597709999999997,39.81822,8.09528,32.80929999999999,449.942
ENSG00000228794_2,0.0,5.42862,0.0,0.0,0.0
ENSG00000272438,2.2024299999999997,2.2394,0.0,0.0,0.0
ENSG00000223764,0.0,0.0,0.0,0.0,36.714
ENSG00000187634,0.0,6.7045,0.0,3.2942,0.0
ENSG00000187634_1,1961.9329999999998,2318.56268,1216.4116400000003,2515.1438,0.0
ENSG00000187634_2,76.45212,1022.1592999999999,19.316540000000003,712.3712000000002,13.262
ENSG00000188976,9.327200000000001,41.84239000000002,2.64111,5.91,879.131
ENSG00000187961,0.0,0.0,0.0,0.0,220.7
ENSG00000187583,74.56259,1807.8049999999998,17.843890000000005,1347.2135000000003,20.016
ENSG00000187642,325.44645,1247.1962999999996,53.58940000000001,1241.1430000000005,4.974
ENSG00000188290,130.74849,414.9687299999998,59.02570000000001,353.42490000000026,68.277
ENSG00000187608,26.22671000000001,69.95446999999996,17.14986,32.455099999999995,0.0
ENSG00000188157,0.47351,82.46520000000001,0.36060000000000003,18.754699999999996,214.814
ENSG00000291156,0.0,0.0,0.0,0.0,118.51
ENSG00000304119,16.2811,60.35841000000001,11.127229999999999,52.675799999999995,7.7354
ENSG00000237330,0.0,0.0,0.0,0.0,0.0
ENSG00000131591,0.0,0.0,0.0,0.0,0.0
ENSG00000162571,4.40457,0.0,0.0,0.0,7.614
ENSG00000162571_1,0.0,2.4190300000000002,0.0,0.0,0.0
ENSG00000186891,384.27828999999997,400.0338999999999,28.46409999999999,529.2741800000002,37.697
ENSG00000186827,12.036410000000002,907.2280000000001,1.56708,847.0027,8.474
ENSG00000078808,0.0,28.802630000000004,1.5675599999999998,3.4425999999999997,647.137
ENSG00000176022,144.00631,1191.530600000001,78.79688999999996,1019.7628000000001,183.57
ENSG00000184163,34.18017999999999,228.88700000000003,11.3437,231.2578000000001,0.0
ENSG00000160087,176.51571,1795.7583099999997,21.9527,1768.57039,790.803
ENSG00000131584,396.9960599999998,541.5477900000002,286.1379,313.8853000000002,49.733
ENSG00000169972,60.069720000000004,306.92254999999983,40.49074000000001,121.79410000000001,308.69
ENSG00000127054,37.05334000000001,62.91461999999997,20.496060000000003,44.05767999999995,1072.46
ENSG00000224051,11.012099999999998,47.15859999999999,0.0,25.27809999999998,394.396
ENSG00000224051_1,284.64820999999995,720.7776499999998,79.95961999999999,800.7459999999998,0.0
ENSG00000169962,33.123239999999996,162.66964000000004,23.0477,70.2891,0.0
ENSG00000107404,1958.1146399999998,10492.46454,508.44798000000003,9773.652300000002,227.52
ENSG00000162576,452.58732999999995,2403.6461400000003,180.01414,2737.3114000000014,0.0
ENSG00000175756,633.44014,794.82746,347.4724099999999,1106.6817000000005,682.66
ENSG00000221978,3715.048099999999,6939.703599999996,1733.7794,6971.671600000001,423.861
ENSG00000224870,0.0,0.0,0.0,0.0,279.759
ENSG00000242485,0.0,0.2902,1.5355199999999998,0.0,2535.94
ENSG00000235098,5.318289999999998,30.049899999999983,3.66782,27.04059000000001,0.0
ENSG00000205116,0.0,0.0,0.0,0.17099999999999999,27.075
ENSG00000179403,89.16162999999999,1240.9200100000005,24.988820000000004,1437.6319000000003,177.363
ENSG00000215915,218.71201,1434.5724799999991,47.97513,1358.4925999999987,0.0
ENSG00000160072,824.6055999999999,1286.3622800000005,515.6051800000002,1815.7450000000003,0.0
ENSG00000197785,875.5749899999998,2109.2345199999995,525.2136800000002,2793.6676900000007,1301.89
ENSG00000160075,17.86232,83.16565999999999,1.0657999999999999,196.9116,274.634
ENSG00000160075_1,6.078599999999998,236.76893999999996,0.0,199.00858999999988,2424.4
ENSG00000228594,95.26522000000003,388.94019999999995,59.9597,302.0945,108.68
ENSG00000197530,25.523199999999996,352.79356000000007,16.31188,232.26029999999997,140.61
ENSG00000272106,18.597779999999997,124.8032,14.059100000000008,95.39588999999998,99.099
ENSG00000197530_1,1.102,0.46560999999999997,0.0,0.0,38.435
ENSG00000197530_2,68.43414000000003,190.3941399999999,40.030959999999986,178.40079999999992,0.0
ENSG00000189409,16.20479,161.24547999999993,6.988409999999999,132.83284999999992,0.0
ENSG00000248333,90.91074999999998,223.57182,118.02605999999992,167.94109999999992,1128.96
ENSG00000189339,31.815570000000005,554.7128,16.872550000000007,499.4331800000002,97.07
ENSG00000008128,114.36831,353.5130500000001,117.47869999999999,451.64189000000005,407.449
ENSG00000008130,114.3708,422.9476199999999,117.0642,576.1027799999998,145.647
ENSG00000078369,2.2024299999999997,0.0,0.0,6.905990000000001,105.725
ENSG00000078369_1,233.49078,497.82730000000004,92.94125000000001,593.2969999999999,1380.11
ENSG00000169885,0.0,0.0,0.0,0.0,0.0
ENSG00000178821,0.0,0.0,0.0,4.582799999999999,108.973
