0,1,2,3,4,GM12878_CAGE_128*3_sum
ENSG00000310526,85317.91183000001,107808.9485,36544.13664999999,33648.15372000001,0.0
ENSG00000225630,3977.2314800000004,4840.2454,107.2106,47.71100999999999,1604.4
ENSG00000237973,69380.23026,82356.2439,19755.291540000002,16564.330429999998,512.85
ENSG00000229344,2486.00404,2071.3306,45.662100000000024,22.262139999999995,8248.4
ENSG00000240409,24.55072,4.9576,126.17296999999995,143.55497999999997,17244.0
ENSG00000198744,61.53639999999999,52.27195,191.3377700000001,206.61711000000003,3862.8
ENSG00000237491,62.07832000000002,73.98084999999999,181.80209999999997,225.94826999999998,73.276
ENSG00000228794,37.38764000000001,32.22093999999999,36.19056,15.216499999999996,8.6306
ENSG00000225880,15.220450000000007,43.16480000000002,30.325300000000006,24.969580000000004,101.36
ENSG00000228794_1,1.8729200000000004,0.0,21.732899999999994,52.394059999999996,234.988
ENSG00000228794_2,0.0,0.0,0.0,0.0,0.0
ENSG00000272438,0.0,0.0,0.0,0.0,18.536
ENSG00000223764,0.0,0.0,0.0,0.0,22.213
ENSG00000187634,0.0,0.0,0.0,21.702000000000005,0.0
ENSG00000187634_1,306.2555999999999,71.71779999999997,973.9273,970.1875,0.0
ENSG00000187634_2,4.9939800000000005,0.0,417.29409000000004,432.7683399999999,10.2055
ENSG00000188976,0.0,0.0,3.1057999999999995,7.776240000000006,745.836
ENSG00000187961,0.0,0.0,0.0,0.0,134.226
ENSG00000187583,0.0,0.0,33.62958,42.09790000000001,15.1237
ENSG00000187642,330.34727000000004,29.76834,13132.776,12494.408379999999,0.0
ENSG00000188290,9.797960000000002,1.5226199999999999,67.18239000000003,151.35479999999998,29.89
ENSG00000187608,4.50666,0.0,67.79139999999997,69.82713,2200.06
ENSG00000188157,0.40309,0.0,119.1201,82.76739999999998,171.507
ENSG00000291156,0.0,0.0,11.772799999999997,0.0,0.0
ENSG00000304119,9.0018,3.9307,49.549199999999985,58.55019999999999,20.3425
ENSG00000237330,0.0,0.0,0.0,0.0,0.0
ENSG00000131591,0.0,0.0,0.0,0.0,69.372
ENSG00000162571,1.0512699999999997,0.0,145.7276,151.80664000000002,6.366
ENSG00000162571_1,6.6751000000000005,0.0,106.25325,80.02346999999999,0.0
ENSG00000186891,17.584289999999996,11.802,421.63050000000015,315.55015999999966,78.856
ENSG00000186827,0.8146199999999998,1.7001200000000003,939.5285000000001,760.5317,104.481
ENSG00000078808,0.0,0.0,31.621460000000003,16.696570000000005,649.844
ENSG00000176022,24.5934,6.4269,879.4552,710.3654000000004,101.96
ENSG00000184163,10.77752,0.0,229.07800000000003,216.84686999999994,16.635
ENSG00000160087,5.913270000000001,0.0,719.8323099999999,741.2634999999999,659.206
ENSG00000131584,135.08406000000008,24.19921,339.6321000000001,285.1161199999998,42.396
ENSG00000169972,35.657030000000006,4.4389,286.95566999999994,284.7505699999999,98.381
ENSG00000127054,11.294319999999999,27.24103999999999,66.27820000000001,100.13502999999999,792.63
ENSG00000224051,0.0,0.0,10.768840000000008,12.740520000000002,244.338
ENSG00000224051_1,15.649800000000003,0.75553,242.3717,244.56998999999996,0.0
ENSG00000169962,7.15639,4.722300000000001,8.769400000000003,29.98982,0.0
ENSG00000107404,205.50909000000001,10.2102,6396.7599,5227.121340000001,93.844
ENSG00000162576,135.18247000000002,114.41384000000002,1706.3769,1607.7132000000001,0.0
ENSG00000175756,165.55141999999992,56.319299999999984,768.7746599999999,686.99457,576.184
ENSG00000221978,1252.2898099999998,643.0942000000001,5444.655899999998,4844.590599999999,368.902
ENSG00000224870,5.00137,0.0,41.80919999999999,16.3867,156.228
ENSG00000242485,0.0,0.0,0.0,0.0,2157.39
ENSG00000235098,0.0,0.0,3.4968,0.0,0.0
ENSG00000205116,0.5209600000000001,0.0,19.275700000000004,15.596750000000002,27.855
ENSG00000179403,12.9223,0.0,1049.9292999999998,632.2206100000001,72.2556
ENSG00000215915,15.730340000000005,2.31374,1029.1977299999999,613.1662,56.993
ENSG00000160072,196.82937999999984,64.2549,1435.831699999999,1035.2372599999999,476.576
ENSG00000197785,197.45044999999996,64.2432,2112.956979999999,1650.307769999999,751.835
ENSG00000160075,1.6297100000000002,0.0,31.234070000000003,10.577850000000002,107.237
ENSG00000160075_1,1.6449300000000002,0.0,163.23657999999998,163.32952999999995,1277.6
ENSG00000228594,37.811679999999996,12.2988,178.30587000000003,165.37441999999996,51.32
ENSG00000197530,8.434899999999999,0.0,245.64789999999996,235.55209999999997,59.984
ENSG00000272106,6.12066,0.0,184.65750000000003,158.21138999999988,45.68
ENSG00000197530_1,0.0,0.0,0.5353,0.9855199999999998,23.657
ENSG00000197530_2,30.87257000000001,11.4673,97.82905000000005,71.57350000000002,12.3378
ENSG00000189409,15.22422,4.719999999999999,255.5822700000001,209.53221999999994,0.0
ENSG00000248333,61.279660000000014,89.4223,62.951339999999966,76.52749,775.483
ENSG00000189339,5.036279999999998,0.0,316.13419,196.4893999999999,123.48
ENSG00000008128,114.79712999999997,73.295,356.50411999999955,405.21329000000003,277.071
ENSG00000008130,115.26306999999997,73.3047,463.3922299999998,582.6374699999998,123.019
ENSG00000078369,1.9917500000000004,0.0,8.557090000000004,0.0,80.324
ENSG00000078369_1,0.0,0.0,1.356,0.0,2091.52
ENSG00000169885,0.0,0.0,0.0,0.0,0.0
ENSG00000178821,0.0,0.0,0.0,0.0,31.01
ENSG00000142609,0.0,0.0,0.0,0.0,0.0
ENSG00000142609_1,0.6233899999999999,0.0,11.2581,1.0380800000000001,4.16681
